Price	EngineV	Model	Year	Engine Type	Mileage	Body	﻿Brand
NA	3	GLS 350	2016	Diesel	0	crossover	Mercedes-Benz
10900	NA	Camry	2005	Gas	156	sedan	Toyota
5000	2	Passat B6	2006	Diesel	265	vagon	Volkswagen
23900	4.8	X5	2007	Petrol	162	crossover	BMW
36900	3	730	2010	Diesel	81	sedan	BMW
8900	1.8	318	1995	Petrol	253	other	BMW
7800	1.9	Trafic	2002	Diesel	200	van	Renault
133000	4.4	X5 M	2015	Petrol	7	crossover	BMW
1650	1.8	318	1995	Petrol	270	sedan	BMW
50000	3.5	S 350	2006	Petrol	240	sedan	Mercedes-Benz
9700	2	Trafic	2008	Diesel	245	van	Renault
9999	2.2	Vito	2005	Diesel	127	van	Mercedes-Benz
69999	3	A6 Allroad	2015	Petrol	21	crossover	Audi
6500	1.6	Lancer	2007	Petrol	152	sedan	Mitsubishi
4300	1.9	A6	2003	Diesel	267	sedan	Audi
3000	2.5	A6	1999	Diesel	267	sedan	Audi
8700	2.2	E-Class	2000	Diesel	240	sedan	Mercedes-Benz
9000	2	Scenic	2008	Petrol	178	vagon	Renault
20400	1.8	E-Class	2011	Gas	190	sedan	Mercedes-Benz
9000	3	330	2006	Petrol	175	sedan	BMW
13400	1.8	E-Class	2006	Petrol	105	sedan	Mercedes-Benz
3700	1.9	Passat B5	2001	Diesel	195	sedan	Volkswagen
9850	2	Caddy	2012	Diesel	126	van	Volkswagen
3700	2	A3	2004	Diesel	420	hatch	Audi
15700	4	Land Cruiser Prado	2003	Gas	195	crossover	Toyota
24500	2.2	E-Class	2012	Diesel	180	sedan	Mercedes-Benz
7500	1.6	Lancer	2007	Gas	195	sedan	Mitsubishi
11990	2.5	Caravelle	2002	Diesel	231	van	Volkswagen
13708.5	1.4	Polo	2014	Petrol	51	hatch	Volkswagen
8200	2.5	525	1999	Gas	287	sedan	BMW
6999	1.5	Kangoo	2009	Diesel	222	van	Renault
6750	1.5	Megane	2004	Diesel	214	vagon	Renault
18500	3	A8	2006	Diesel	245	sedan	Audi
14299	2	Avensis	2009	Petrol	83	sedan	Toyota
28500	3.2	GL 320	2007	Diesel	210	crossover	Mercedes-Benz
17000	3.8	Pajero Wagon	2008	Petrol	89	crossover	Mitsubishi
NA	3	GL 350	2016	Diesel	0	crossover	Mercedes-Benz
25700	4.7	GL 450	2008	Gas	130	crossover	Mercedes-Benz
2650	2.5	A6	2000	Diesel	333	vagon	Audi
8500	1.5	Lancer X	2008	Petrol	116	sedan	Mitsubishi
4000	2	200	1992	Diesel	405	sedan	Mercedes-Benz
11000	1.5	Kangoo	2011	Diesel	131	other	Renault
14500	2	E-Class	2007	Petrol	138	sedan	Mercedes-Benz
4099	2.5	520	1988	Petrol	50	sedan	BMW
31500	2	Tiguan	2014	Petrol	1	crossover	Volkswagen
4500	1.5	Kangoo	2003	Diesel	207	van	Renault
6700	1.9	Caddy	2004	Diesel	207	other	Volkswagen
NA	1.5	Kangoo	2012	Diesel	85	van	Renault
20800	2.4	Outlander XL	2011	Petrol	31	crossover	Mitsubishi
107999	2.98	GLS 350	2016	Diesel	0	crossover	Mercedes-Benz
3500	2	320	1999	Diesel	334	sedan	BMW
39000	1.8	A5	2015	Other	18	sedan	Audi
13500	4.7	Land Cruiser 100	2002	Gas	150	crossover	Toyota
6150	1.6	Lancer	2007	Petrol	175	sedan	Mitsubishi
45500	4.4	X6 M	2010	Petrol	76	crossover	BMW
4900	2	520	1994	Petrol	295	sedan	BMW
47000	2	Z4	2014	Petrol	5	other	BMW
19200	2.7	Land Cruiser Prado	2005	Gas	190	crossover	Toyota
NA	1.5	Megane	2011	Diesel	180	vagon	Renault
11100	2.4	Outlander	2008	Gas	119	crossover	Mitsubishi
8200	1.5	Lancer X	2012	Other	139	sedan	Mitsubishi
10300	2	Passat B6	2007	Petrol	235	sedan	Volkswagen
11990	1.1	Scenic	2010	Diesel	210	van	Renault
800	NA	Galant	1986	Other	340	sedan	Mitsubishi
46800	2	520	2014	Diesel	33	sedan	BMW
1500	1.8	Golf III	1994	Gas	260	other	Volkswagen
6350	4.4	X5	2002	Gas	156	crossover	BMW
NA	3	S 350	2014	Diesel	16	sedan	Mercedes-Benz
8900	1.5	A 150	2005	Petrol	155	hatch	Mercedes-Benz
12700	3	Vito	2007	Diesel	160	van	Mercedes-Benz
8000	1.6	Lancer	2007	Gas	207	sedan	Mitsubishi
29500	4	FJ Cruiser	2008	Petrol	63	crossover	Toyota
NA	2	Golf GTI	2013	Petrol	100	hatch	Volkswagen
7100	1.5	Kangoo	2008	Diesel	208	van	Renault
10850	2.5	Koleos	2010	Gas	103	crossover	Renault
NA	2.5	T4 (Transporter)	2001	Diesel	277	van	Volkswagen
195000	4.5	Land Cruiser 200	2016	Diesel	0	crossover	Toyota
27000	2	Passat B7	2013	Diesel	57	sedan	Volkswagen
18100	2	Scirocco	2011	Petrol	64	other	Volkswagen
27000	5	M5	2005	Other	137	sedan	BMW
8990	2.2	320	2002	Petrol	300	other	BMW
32900	2.7	Venza	2013	Petrol	82	crossover	Toyota
25500	4.8	X5	2008	Petrol	163	other	BMW
8900	2	Rav 4	2003	Petrol	153	crossover	Toyota
11950	3	A6	2006	Petrol	190	sedan	Audi
22700	2.2	E-Class	2010	Diesel	125	sedan	Mercedes-Benz
600	1.6	80	1980	Petrol	112	sedan	Audi
13000	2.2	520	2003	Gas	165	sedan	BMW
25000	2	A5	2011	Petrol	60	other	Audi
26900	4	Land Cruiser Prado	2008	Gas	119	crossover	Toyota
87777	2.2	V 250	2016	Diesel	0	van	Mercedes-Benz
6000	2	Caddy	2008	Diesel	200	van	Volkswagen
9800	2.5	A6	2003	Diesel	257	vagon	Audi
13900	2	A6	2006	Diesel	197	other	Audi
12200	2.5	Trafic	2009	Diesel	164	van	Renault
13500	2.7	ML 270	2005	Diesel	205	crossover	Mercedes-Benz
18100	4.8	X5	2005	Petrol	200	crossover	BMW
33000	3	X5	2010	Diesel	200	crossover	BMW
16900	1.4	Tiguan	2011	Petrol	145	crossover	Volkswagen
22000	1.8	C-Class	2011	Petrol	110	sedan	Mercedes-Benz
10700	3.2	Passat B6	2007	Petrol	195	sedan	Volkswagen
7800	2.2	E-Class	2000	Diesel	226	sedan	Mercedes-Benz
17300	1.8	E-Class	2008	Gas	184	sedan	Mercedes-Benz
70000	3	730	2014	Diesel	16	sedan	BMW
2200	1.4	Lupo	2001	Petrol	118	hatch	Volkswagen
8900	2.2	5 Series	2002	Petrol	256	sedan	BMW
31600	1.6	CLA 200	2013	Petrol	33	sedan	Mercedes-Benz
7900	1.9	T5 (Transporter)	2006	Diesel	168	other	Volkswagen
28500	3.5	Highlander	2012	Petrol	97	crossover	Toyota
6900	1.5	Kangoo	2012	Diesel	140	van	Renault
8850	2.5	525	2000	Diesel	280	vagon	BMW
3100	1.4	Kangoo	1999	Petrol	164	van	Renault
8900	2.5	525	2000	Petrol	250	sedan	BMW
6100	1.4	Megane	2005	Petrol	130	sedan	Renault
1400	1.8	318	1996	Petrol	260	sedan	BMW
8800	1.6	Caddy	2012	Diesel	93	van	Volkswagen
10299	2	Trafic	2013	Diesel	176	other	Renault
6500	1.6	Megane	2004	Petrol	170	sedan	Renault
169000	4.7	S 500	2015	Petrol	1	other	Mercedes-Benz
9100	1.6	Corolla	2007	Gas	151	sedan	Toyota
9950	1.4	Polo	2010	Petrol	95	hatch	Volkswagen
24500	4.7	Land Cruiser 100	2003	Gas	260	crossover	Toyota
51500	3	Q7	2013	Diesel	27	crossover	Audi
12900	1.9	T5 (Transporter)	2008	Diesel	290	van	Volkswagen
8000	2.2	Vito	2006	Diesel	250	van	Mercedes-Benz
8100	2.4	Galant	2007	Petrol	112	sedan	Mitsubishi
10100	2	Trafic	2012	Diesel	164	van	Renault
1900	2.5	5 Series	1997	Diesel	300	sedan	BMW
10800	2	Trafic	2012	Diesel	187	van	Renault
8000	4.2	A8	2004	Gas	234	sedan	Audi
15300	2.6	CLK 240	2004	Petrol	120	other	Mercedes-Benz
2350	1.9	Golf IV	1998	Diesel	182	hatch	Volkswagen
23999	NA	Passat CC	2012	Other	88	sedan	Volkswagen
38888	0.65	I3	2015	Other	5	vagon	BMW
7300	NA	Colt	2004	Other	126	hatch	Mitsubishi
99999	4.5	Land Cruiser 200	2016	Diesel	0	crossover	Toyota
17650	1.8	Passat B7	2012	Petrol	110	sedan	Volkswagen
12999	2.5	Multivan	2005	Diesel	237	van	Volkswagen
18500	1.8	C-Class	2008	Petrol	90	other	Mercedes-Benz
9200	2	Passat B6	2006	Petrol	195	sedan	Volkswagen
14500	1.6	Polo	2016	Other	1	sedan	Volkswagen
18000	1.6	Passat B7	2011	Diesel	18	vagon	Volkswagen
6800	1.7	Vaneo	2003	Diesel	250	van	Mercedes-Benz
20500	2	X1	2011	Petrol	73	crossover	BMW
28000	5	M5	2005	Petrol	100	other	BMW
10650	2	T5 (Transporter) 	2011	Diesel	130	van	Volkswagen
20300	1.4	Scirocco	2013	Petrol	30	other	Volkswagen
3000	1.9	Passat B5	1999	Diesel	267	vagon	Volkswagen
25250	4.5	Land Cruiser 100	2007	Gas	112	crossover	Toyota
1389	1.3	Colt	1996	Petrol	245	hatch	Mitsubishi
17600	4	S 400	2005	Diesel	174	sedan	Mercedes-Benz
14200	2.2	Vito	2007	Diesel	180	van	Mercedes-Benz
13700	4.6	X5	2004	Gas	270	crossover	BMW
23900	5.5	S 550	2007	Petrol	187	sedan	Mercedes-Benz
3700	NA	Golf IV	2000	Diesel	267	crossover	Volkswagen
32000	3.6	Passat CC	2013	Petrol	144	sedan	Volkswagen
4599	2	520	1991	Gas	267	sedan	BMW
2350	1.9	Passat B5	1998	Diesel	300	sedan	Volkswagen
19999	2	A4 Allroad	2010	Petrol	160	vagon	Audi
28900	2	528	2012	Petrol	78	sedan	BMW
3800	2.8	Passat B4	1996	Gas	300	sedan	Volkswagen
4649	NA	A6	2000	Diesel	350	vagon	Audi
1800	1.3	Golf II	1989	Petrol	300	other	Volkswagen
135000	4.5	Land Cruiser 200	2011	Diesel	1	crossover	Toyota
9700	2	Passat B6	2007	Petrol	201	sedan	Volkswagen
25342.2	2.5	L 200	2016	Diesel	1	other	Mitsubishi
24900	1.6	Jetta	2016	Diesel	1	sedan	Volkswagen
4999	1.4	Logan	2011	Petrol	140	sedan	Renault
NA	2.5	Multivan	2007	Diesel	142	other	Volkswagen
4700	2.5	525	1991	Petrol	390	sedan	BMW
4999	2.8	E-Class	1997	Petrol	1	sedan	Mercedes-Benz
9299	2.7	E-Class	2000	Diesel	350	sedan	Mercedes-Benz
25000	5.5	S 550	2007	Petrol	130	sedan	Mercedes-Benz
12900	3	Pajero Sport	2008	Gas	148	crossover	Mitsubishi
9700	2.5	A6	2003	Diesel	189	vagon	Audi
10100	2	Trafic	2014	Diesel	64	van	Renault
2800	3	730	2001	Diesel	296	sedan	BMW
13500	2.9	Sprinter 312	2000	Diesel	350	van	Mercedes-Benz
8900	1.8	Lancer X Sportback	2009	Petrol	125	hatch	Mitsubishi
109999	3	GLS 350	2016	Diesel	0	crossover	Mercedes-Benz
11500	3.2	E-Class	2004	Gas	180	sedan	Mercedes-Benz
36900	3	X6	2010	Petrol	82	crossover	BMW
33200	4	Land Cruiser Prado	2010	Gas	150	crossover	Toyota
10200	2.5	T5 (Transporter)	2008	Diesel	253	van	Volkswagen
16999	1.6	Jetta	2016	Petrol	0	sedan	Volkswagen
10800	3	Camry	2005	Gas	179	sedan	Toyota
35500	2.99	E-Class	2011	Diesel	99	other	Mercedes-Benz
9900	1.6	Golf Plus	2007	Petrol	156	hatch	Volkswagen
7900	1.5	Scenic	2008	Diesel	91	vagon	Renault
13900	2.2	E-Class	2007	Diesel	216	sedan	Mercedes-Benz
20000	1.8	Passat CC	2011	Petrol	102	sedan	Volkswagen
28500	2.2	Rav 4	2015	Diesel	38	crossover	Toyota
7200	1.6	Lancer	2007	Petrol	178	sedan	Mitsubishi
9000	2	Outlander	2006	Gas	200	crossover	Mitsubishi
36500	3	Q7	2010	Diesel	115	crossover	Audi
8000	1	Up	2012	Petrol	41	hatch	Volkswagen
43000	1.8	A6	2015	Petrol	11	other	Audi
13700	1.4	Corolla	2013	Diesel	48	sedan	Toyota
7899	1.8	Avensis	2006	Gas	165	sedan	Toyota
13999	2	Trafic	2012	Diesel	180	van	Renault
10500	1.6	Caddy	2012	Diesel	176	van	Volkswagen
5500	99.99	S 550	2007	Petrol	100	sedan	Mercedes-Benz
20800	2	Amarok	2012	Diesel	160	other	Volkswagen
2500	2	Passat B3	1991	Petrol	488	sedan	Volkswagen
32000	3.2	G 320	2003	Gas	176	crossover	Mercedes-Benz
14500	5	S 500	2004	Petrol	220	sedan	Mercedes-Benz
16900	1.6	Auris	2014	Petrol	20	hatch	Toyota
13600	2.2	Vito	2013	Diesel	172	van	Mercedes-Benz
2600	2.5	A6	1999	Diesel	273	vagon	Audi
NA	2.2	V 250	2016	Diesel	0	van	Mercedes-Benz
12000	3	530	2003	Diesel	237	sedan	BMW
NA	1.6	Jetta	2008	Gas	118	sedan	Volkswagen
18800	1.6	Passat B7	2013	Diesel	106	vagon	Volkswagen
35500	3	Land Cruiser Prado	2012	Diesel	85	crossover	Toyota
29900	5.5	CL 500	2007	Petrol	71	other	Mercedes-Benz
6750	1.5	Kangoo	2012	Diesel	110	other	Renault
NA	4.5	Land Cruiser 200	2016	Diesel	0	crossover	Toyota
34900	3	X5	2011	Petrol	117	crossover	BMW
7700	1.9	T5 (Transporter) 	2008	Diesel	177	van	Volkswagen
9250	1.5	Megane	2010	Diesel	220	vagon	Renault
8400	1.5	Kangoo	2011	Diesel	84	hatch	Renault
11750	1.6	Corolla	2013	Petrol	93	sedan	Toyota
5800	2.2	Vito	2000	Diesel	368	van	Mercedes-Benz
5900	3	Land Cruiser Prado	2003	Diesel	180	crossover	Toyota
44999	3	X6	2011	Diesel	87	crossover	BMW
10500	1.6	Caddy	2013	Diesel	170	van	Volkswagen
17900	3	E-Class	2007	Diesel	190	sedan	Mercedes-Benz
9999	3	A6	2007	Petrol	190	sedan	Audi
9999	2.5	A6	2003	Diesel	190	sedan	Audi
4900	2.5	Master	2000	Diesel	472	van	Renault
61000	3	Touareg	2016	Diesel	2	crossover	Volkswagen
38300	5.7	Land Cruiser 200	2009	Gas	130	crossover	Toyota
17700	1.6	Corolla	2014	Petrol	30	sedan	Toyota
600	1.5	Corolla	1979	Petrol	10	sedan	Toyota
55555	2	Multivan	2013	Diesel	50	van	Volkswagen
18000	3	X5	2005	Diesel	280	crossover	BMW
7600	1.5	Kangoo	2013	Diesel	125	other	Renault
6900	1.5	Logan	2013	Diesel	68	sedan	Renault
15635.1	1.5	Dokker	2016	Diesel	0	vagon	Renault
10550	2	Trafic	2011	Diesel	195	van	Renault
12500	1.9	T5 (Transporter)	2008	Diesel	190	van	Volkswagen
13000	3	A6	2006	Petrol	157	sedan	Audi
7400	4.4	540	1997	Gas	285	sedan	BMW
64400	NA	A8	2014	Other	41	other	Audi
9500	1.5	Megane	2009	Diesel	100	hatch	Renault
18800	4.2	Q7	2007	Petrol	197	crossover	Audi
8000	3	Camry	2002	Petrol	176	sedan	Toyota
8700	1.9	Passat B5	2002	Diesel	250	vagon	Volkswagen
9999	3.2	ML 320	1998	Petrol	300	crossover	Mercedes-Benz
16700	2	Passat CC	2011	Petrol	175	sedan	Volkswagen
13900	1.6	Auris	2012	Petrol	90	hatch	Toyota
18700	2	T5 (Transporter) 	2011	Diesel	145	other	Volkswagen
6200	1.6	Lancer	2006	Petrol	152	sedan	Mitsubishi
NA	2.2	Vito	2000	Diesel	450	van	Mercedes-Benz
3600	1.9	Kangoo	2001	Diesel	22	van	Renault
7500	1.4	Kangoo	2007	Petrol	98	vagon	Renault
2300	1.9	Kangoo	2002	Diesel	200	van	Renault
16900	2.5	Touareg	2007	Diesel	133	crossover	Volkswagen
13499	2.4	Outlander XL	2008	Petrol	116	crossover	Mitsubishi
5700	1.5	Kangoo	2007	Diesel	180	van	Renault
7250	NA	Kangoo	2013	Other	83	van	Renault
17900	3.8	Pajero Wagon	2007	Gas	140	crossover	Mitsubishi
7800	NA	Passat B5	2003	Diesel	289	vagon	Volkswagen
13900	1.9	Multivan	2006	Diesel	170	other	Volkswagen
7950	2.5	A6	2000	Diesel	167	vagon	Audi
9700	2	318	2003	Petrol	250	sedan	BMW
7500	1.8	Passat B5	2002	Petrol	240	sedan	Volkswagen
19999	4.2	Q7	2007	Petrol	117	crossover	Audi
9100	2	318	2004	Gas	230	sedan	BMW
8100	NA	Kangoo	2008	Diesel	135	van	Renault
13300	1.4	Golf VI	2011	Petrol	73	hatch	Volkswagen
21000	1.2	Golf VII	2014	Other	22	hatch	Volkswagen
6600	1.8	A6	1998	Petrol	360	sedan	Audi
7600	3	A6	2006	Diesel	226	vagon	Audi
3500	1.7	A 170	2002	Diesel	258	hatch	Mercedes-Benz
3500	1.8	Passat B3	1991	Petrol	3	sedan	Volkswagen
17900	2.2	Vito	2012	Diesel	167	van	Mercedes-Benz
1950	1.9	Laguna	2001	Diesel	286	vagon	Renault
7990	1.4	New Beetle	2003	Petrol	90	sedan	Volkswagen
65000	NA	Touareg	2015	Other	24	crossover	Volkswagen
6500	1.9	Passat B5	2001	Diesel	320	sedan	Volkswagen
3500	2	Galant	1996	Diesel	300	sedan	Mitsubishi
14100	2.4	Camry	2009	Gas	113	sedan	Toyota
2999	1.6	Corolla	1991	Petrol	300	other	Toyota
66900	3	X5	2014	Diesel	70	crossover	BMW
13100	3.5	Camry	2006	Gas	200	sedan	Toyota
6900	1.8	Passat B5	1998	Petrol	300	sedan	Volkswagen
23999	2	Passat B7	2014	Diesel	80	sedan	Volkswagen
6990	2.5	Pajero	1997	Petrol	225	crossover	Mitsubishi
13999	2.4	Camry	2009	Gas	198	sedan	Toyota
7600	1	Kangoo	2013	Diesel	108	van	Renault
11100	1.5	Megane	2012	Diesel	180	vagon	Renault
16500	2.2	Sprinter 319	2011	Diesel	260	other	Mercedes-Benz
199999	5.5	GLS 63	2016	Petrol	0	crossover	Mercedes-Benz
44000	5.5	S 500	2010	Petrol	82	other	Mercedes-Benz
39900	1.8	A5	2014	Petrol	12	other	Audi
20500	1.8	E-Class	2011	Gas	173	sedan	Mercedes-Benz
8000	4.4	X5	2000	Petrol	214	crossover	BMW
11600	2	320	2005	Petrol	142	sedan	BMW
3500	2	100	1986	Diesel	265	sedan	Audi
11500	1.5	Megane	2012	Diesel	170	vagon	Renault
13700	2	Passat B6	2011	Diesel	103	other	Volkswagen
13700	3.2	Viano	2006	Gas	198	van	Mercedes-Benz
7700	1.5	Megane	2007	Diesel	200	vagon	Renault
5800	2.2	E-Class	1994	Petrol	231	sedan	Mercedes-Benz
9500	2	Passat B6	2007	Petrol	95	sedan	Volkswagen
24900	5.5	S 550	2009	Petrol	140	sedan	Mercedes-Benz
55500	3	Touareg	2016	Diesel	47	crossover	Volkswagen
6500	2.8	Sharan	2000	Petrol	186	van	Volkswagen
8300	3.2	E-Class	2006	Diesel	175	sedan	Mercedes-Benz
12000	3	Pajero Sport	2007	Gas	130	crossover	Mitsubishi
15000	3.7	ML 350	2005	Gas	185	crossover	Mercedes-Benz
8100	3	530	2000	Diesel	246	sedan	BMW
11200	NA	T5 (Transporter)	2008	Diesel	178	van	Volkswagen
8000	2	Megane	2005	Gas	175	sedan	Renault
5500	2.3	Vito	1999	Diesel	285	van	Mercedes-Benz
NA	2.2	V 250	2016	Diesel	0	van	Mercedes-Benz
9600	1.5	Megane	2011	Diesel	184	vagon	Renault
12500	NA	Golf VI	2010	Petrol	96	vagon	Volkswagen
10800	2	318	2002	Petrol	180	sedan	BMW
10999	2.2	Vito	2005	Diesel	263	van	Mercedes-Benz
44000	3	X5	2012	Diesel	80	crossover	BMW
15700	NA	Camry	2008	Petrol	108	sedan	Toyota
19200	1.4	Prius	2012	Other	54	hatch	Toyota
19600	1.8	B 180	2013	Diesel	127	van	Mercedes-Benz
9000	1.6	Polo	2011	Gas	135	sedan	Volkswagen
10900	3	530	2003	Diesel	245	sedan	BMW
12900	2	T5 (Transporter) 	2012	Diesel	180	van	Volkswagen
6600	2.5	525	1999	Petrol	285	sedan	BMW
15820.35	1.5	Fluence	2016	Diesel	0	sedan	Renault
10200	2.4	Camry	2003	Petrol	180	sedan	Toyota
6000	3.2	E-Class	1994	Gas	366	sedan	Mercedes-Benz
3500	2	90	1988	Other	1	sedan	Audi
7800	2.5	T4 (Transporter)	1999	Diesel	380	van	Volkswagen
35900	3	Land Cruiser Prado	2013	Diesel	84	crossover	Toyota
NA	4.6	GLS 500	2016	Petrol	0	crossover	Mercedes-Benz
11700	1.5	Duster	2011	Diesel	90	crossover	Renault
15200	2	Tiguan	2008	Petrol	58	crossover	Volkswagen
2500	2.3	E-Class	1992	Gas	111	sedan	Mercedes-Benz
16800	2	T5 (Transporter)	2010	Diesel	164	other	Volkswagen
50499	3	730	2013	Diesel	128	sedan	BMW
2650	2	190	1985	Gas	470	sedan	Mercedes-Benz
2250	2.5	523	1997	Petrol	300	sedan	BMW
9300	2.7	E-Class	2001	Diesel	270	sedan	Mercedes-Benz
11500	2.5	Hiace	2002	Diesel	161	van	Toyota
13000	4.4	745	2002	Other	304	sedan	BMW
7500	3.2	S 320	1997	Gas	319	sedan	Mercedes-Benz
17999	2	CLC 200	2009	Petrol	38	other	Mercedes-Benz
7300	1.5	Megane	2006	Diesel	162	vagon	Renault
29900	3	Land Cruiser Prado	2008	Diesel	117	crossover	Toyota
4950	1.5	Kangoo	2004	Diesel	170	vagon	Renault
36000	3	Q7	2010	Diesel	40	vagon	Audi
1700	1.6	A4	1996	Petrol	177	sedan	Audi
12450	2	A4	2008	Diesel	1	vagon	Audi
13893.75	1.6	Polo	2016	Petrol	0	sedan	Volkswagen
44600	3	Touareg	2013	Diesel	60	crossover	Volkswagen
35138.29	2	Rav 4	2016	Petrol	0	crossover	Toyota
3500	2.5	325	1994	Diesel	313	sedan	BMW
12800	2.7	Sprinter 316	2005	Diesel	260	other	Mercedes-Benz
27000	2	Passat CC	2013	Diesel	85	sedan	Volkswagen
14800	2	Passat B6	2010	Diesel	143	sedan	Volkswagen
2200	1.6	Scenic	2004	Petrol	155	other	Renault
2900	2.4	T4 (Transporter)	1995	Diesel	433	van	Volkswagen
12000	6	A8	2004	Petrol	200	sedan	Audi
41000	3	Touareg	2013	Diesel	180	crossover	Volkswagen
16300	3.2	A6 Allroad	2006	Petrol	180	vagon	Audi
5300	1.5	Kangoo	2010	Other	145	van	Renault
40500	2.2	E-Class	2015	Diesel	39	sedan	Mercedes-Benz
4300	2.2	Vito	2005	Diesel	300	van	Mercedes-Benz
4000	2.5	Touareg	2004	Diesel	137	crossover	Volkswagen
9600	1.6	Golf V	2007	Petrol	132	hatch	Volkswagen
18000	3	Pajero Wagon	2008	Gas	112	crossover	Mitsubishi
11300	1.5	Megane	2011	Diesel	184	vagon	Renault
4999	1.4	Polo	2002	Petrol	131	hatch	Volkswagen
24999	2.2	C-Class	2012	Diesel	112	sedan	Mercedes-Benz
23300	2.7	Venza	2011	Other	93	crossover	Toyota
14900	4	Fortuner	2006	Petrol	124	crossover	Toyota
22800	2.7	A6	2010	Diesel	184	sedan	Audi
35500	3	E-Class	2011	Diesel	137	sedan	Mercedes-Benz
15000	2.8	LT	2006	Diesel	280	other	Volkswagen
8650	1.6	Corolla	2008	Petrol	132	sedan	Toyota
22400	2.5	Pajero Sport	2011	Diesel	96	crossover	Mitsubishi
10400	2	Lancer X	2009	Petrol	123	sedan	Mitsubishi
195000	5.5	GLS 63	2016	Petrol	2	crossover	Mercedes-Benz
10500	4.2	A6 Allroad	2005	Gas	198	vagon	Audi
11900	1.5	Duster	2011	Diesel	68	crossover	Renault
36900	2	520	2013	Petrol	17	sedan	BMW
24500	3	X5	2006	Diesel	170	crossover	BMW
4700	2.4	T4 (Transporter)	1999	Diesel	400	van	Volkswagen
18100	1.6	Auris	2013	Petrol	30	hatch	Toyota
115000	4.6	S 500	2013	Petrol	47	sedan	Mercedes-Benz
10900	3.2	E-Class	2002	Diesel	217	sedan	Mercedes-Benz
7000	3	530	2001	Petrol	280	sedan	BMW
NA	3	S 350	2015	Diesel	20	sedan	Mercedes-Benz
9999	2	Passat B6	2008	Diesel	161	vagon	Volkswagen
12300	2.5	L 200	2008	Diesel	160	other	Mitsubishi
